;mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_learning_rate;param_max_depth;param_n_estimators;params;split0_test_r2;split1_test_r2;split2_test_r2;split3_test_r2;split4_test_r2;mean_test_r2;std_test_r2;rank_test_r2;split0_test_neg_root_mean_squared_error;split1_test_neg_root_mean_squared_error;split2_test_neg_root_mean_squared_error;split3_test_neg_root_mean_squared_error;split4_test_neg_root_mean_squared_error;mean_test_neg_root_mean_squared_error;std_test_neg_root_mean_squared_error;rank_test_neg_root_mean_squared_error
11;424,0356401;1,767947079;0,010409546;0,00382952;0,0001;7;500;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 500};0,056586705;0,064883363;0,061654132;0,057990147;0,042107119;0,056644293;0,007824638;59;-5,818166837;-6,296919365;-6,363279151;-6,149589428;-5,28494186;-5,982579328;0,396324082;59
25;41,07057509;1,44104555;0,002202034;0,000400424;0,001;7;50;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 50};0,056675427;0,064476026;0,061796023;0,058152015;0,042022051;0,056624308;0,007796904;60;-5,817893249;-6,298290687;-6,362798025;-6,149061054;-5,285176527;-5,982643908;0,396345363;60
7;299,324622;4,367218653;0,006005478;2,34E-07;0,0001;5;500;{'learning_rate': 0.0001, 'max_depth': 5, 'n_estimators': 500};0,053023961;0,058777418;0,053754962;0,053901096;0,044725939;0,052836675;0,004540656;61;-5,829142462;-6,317444122;-6,390006653;-6,162921961;-5,277712564;-5,995445552;0,40748184;61
21;29,16752052;0,61435754;0,002202129;0,000400496;0,001;5;50;{'learning_rate': 0.001, 'max_depth': 5, 'n_estimators': 50};0,053140293;0,058747;0,053550851;0,053986997;0,044657353;0,052816499;0,004555364;62;-5,828784408;-6,317546205;-6,390695801;-6,162642174;-5,277902023;-5,995514122;0,407571081;62
17;17,52782435;0,312178915;0,001801682;0,0004004;0,001;3;50;{'learning_rate': 0.001, 'max_depth': 3, 'n_estimators': 50};0,045443305;0,044061073;0,042994153;0,042367413;0,033597229;0,041692634;0,004179998;63;-5,852427447;-6,366640296;-6,426237889;-6,200373578;-5,30836558;-6,030808958;0,412708925;63
3;178,2049751;6,891083626;0,004003811;2,78E-07;0,0001;3;500;{'learning_rate': 0.0001, 'max_depth': 3, 'n_estimators': 500};0,045455129;0,044040722;0,043009676;0,042359327;0,033575666;0,041688104;0,004188891;64;-5,8523912;-6,366708064;-6,426185773;-6,200399754;-5,3084248;-6,030821918;0,412694521;64
28;11,07830191;0,353327388;0,002002048;2,78E-07;0,001;9;10;{'learning_rate': 0.001, 'max_depth': 9, 'n_estimators': 10};0,01210252;0,01139178;0,013231224;0,011892819;-0,002619125;0,009199843;0,005940072;65;-5,953757111;-6,474516602;-6,525400955;-6,298257704;-5,406917381;-6,131769951;0,414062465;65
14;111,394655;4,927113292;0,004803133;0,000399572;0,0001;9;100;{'learning_rate': 0.0001, 'max_depth': 9, 'n_estimators': 100};0,012121518;0,011268684;0,013062787;0,011819356;-0,002410743;0,00917232;0,005820694;66;-5,953699862;-6,474919673;-6,52595786;-6,298491829;-5,406355471;-6,131884939;0,414455566;66
10;82,11638942;3,286320372;0,00300293;1,78E-07;0,0001;7;100;{'learning_rate': 0.0001, 'max_depth': 7, 'n_estimators': 100};0,011727327;0,010952902;0,01239724;0,011653925;-0,004235577;0,008499163;0,006383776;67;-5,95488759;-6,475953575;-6,528157898;-6,299019021;-5,411274219;-6,133858461;0,413264487;67
24;9,006488466;0,657507469;0,001801634;0,000400376;0,001;7;10;{'learning_rate': 0.001, 'max_depth': 7, 'n_estimators': 10};0,011771607;0,010776773;0,012217802;0,011618963;-0,004217877;0,008433453;0,00634286;68;-5,954754182;-6,476530168;-6,528750924;-6,299130431;-5,411226534;-6,134078448;0,413510286;68
